Date,Buyer,Seller,Price,Volume,TradeType
14.02.20 16:25:10,,,175.25,294,UT
14.02.20 16:25:10,,,175.25,530,UT
14.02.20 16:25:10,,,175.25,"14,126",UT
14.02.20 16:25:10,,,175.25,"1,059",UT
14.02.20 16:25:10,,,175.25,"6,642",UT
14.02.20 16:25:10,,,175.25,"12,232",UT
14.02.20 16:25:10,,,175.25,"1,769",UT
14.02.20 16:25:10,,,175.25,"1,091",UT
14.02.20 16:25:10,,,175.25,"2,388",UT
14.02.20 16:25:10,,,175.25,59,UT
14.02.20 16:25:10,,,175.25,194,UT
14.02.20 16:25:10,,,175.25,216,UT
14.02.20 16:25:10,,,175.25,408,UT
14.02.20 16:25:10,,,175.25,414,UT
14.02.20 16:25:10,,,175.25,"1,815",UT
14.02.20 16:25:10,,,175.25,"5,092",UT
14.02.20 16:25:10,,,175.25,"1,908",UT
14.02.20 16:25:10,,,175.25,"1,667",UT
14.02.20 16:25:10,,,175.25,531,UT
14.02.20 16:25:10,,,175.25,198,UT
14.02.20 16:25:10,,,175.25,130,UT
14.02.20 16:25:10,,,175.25,361,UT
14.02.20 16:25:10,,,175.25,"2,652",UT
14.02.20 16:25:10,,,175.25,"6,192",UT
14.02.20 16:25:10,,,175.25,439,UT
14.02.20 16:25:10,,,175.25,229,UT
14.02.20 16:25:10,,,175.25,19,UT
14.02.20 16:25:10,,,175.25,"2,803",UT
14.02.20 16:25:10,,,175.25,"12,197",UT
14.02.20 16:19:50,,,175.10,279,AT
14.02.20 16:19:49,,,175.15,179,AT
14.02.20 16:19:49,,,175.15,"1,084",AT
14.02.20 16:19:49,,,175.15,176,AT
14.02.20 16:19:49,,,175.15,25,AT
14.02.20 16:19:49,,,175.15,224,AT
14.02.20 16:19:49,,,175.15,522,AT
14.02.20 16:19:49,,,175.10,287,AT
14.02.20 16:19:49,,,175.10,240,AT
14.02.20 16:19:49,,,175.10,253,AT
14.02.20 16:19:49,,,175.10,36,AT
14.02.20 16:19:49,,,175.05,5,AT
14.02.20 16:19:45,,,175.05,144,AT
14.02.20 16:19:37,,,175.05,95,AT
14.02.20 16:19:35,,,175.05,50,AT
14.02.20 16:19:34,,,175.05,269,AT
14.02.20 16:19:21,,,175.00,50,AT
14.02.20 16:19:21,,,175.00,242,AT
14.02.20 16:19:21,,,175.00,44,AT
14.02.20 16:19:20,,,174.95,71,AT
14.02.20 16:19:20,,,174.95,75,AT
14.02.20 16:19:20,,,174.95,246,AT
14.02.20 16:19:20,,,174.95,261,AT
14.02.20 16:19:20,,,174.95,154,AT
14.02.20 16:19:20,,,174.95,150,AT
14.02.20 16:19:20,,,174.95,300,AT
14.02.20 16:18:05,,,174.90,673,AT
14.02.20 16:18:05,,,174.90,538,AT
14.02.20 16:18:05,,,174.90,161,AT
14.02.20 16:18:05,,,174.90,161,AT
14.02.20 16:18:05,,,174.90,33,AT
14.02.20 16:18:05,,,174.90,348,AT
14.02.20 16:18:05,,,174.90,556,AT
14.02.20 16:18:05,,,174.90,172,AT
14.02.20 16:18:05,,,174.90,265,AT
14.02.20 16:18:05,,,174.90,288,AT
14.02.20 16:17:11,,,174.85,8,AT
14.02.20 16:17:11,,,174.85,49,AT
14.02.20 16:17:07,,,174.85,226,AT
14.02.20 16:16:32,,,174.90,99,AT
14.02.20 16:16:32,,,174.90,136,AT
14.02.20 16:16:32,,,174.90,661,AT
14.02.20 16:16:32,,,174.90,2,AT
14.02.20 16:16:32,,,174.90,221,AT
14.02.20 16:16:31,,,174.90,"1,072",AT
14.02.20 16:16:31,,,174.90,82,AT
14.02.20 16:16:06,,,174.90,46,AT
14.02.20 16:16:06,,,174.90,494,AT
14.02.20 16:14:57,,,174.90,105,AT
14.02.20 16:14:57,,,174.90,42,AT
14.02.20 16:14:47,,,174.85,100,AT
14.02.20 16:14:29,,,174.85,206,AT
14.02.20 16:14:29,,,174.85,252,AT
14.02.20 16:14:28,,,174.85,155,AT
14.02.20 16:14:28,,,174.85,176,AT
14.02.20 16:14:28,,,174.85,431,AT
14.02.20 16:14:09,,,174.80,216,AT
14.02.20 16:14:09,,,174.80,600,AT
14.02.20 16:14:09,,,174.80,137,AT
14.02.20 16:14:09,,,174.80,36,AT
14.02.20 16:14:09,,,174.80,212,AT
14.02.20 16:14:09,,,174.80,288,AT
14.02.20 16:14:09,,,174.80,"1,247",AT
14.02.20 16:14:09,,,174.80,159,AT
14.02.20 16:14:09,,,174.80,221,AT
14.02.20 16:13:30,,,174.80,79,AT
14.02.20 16:13:30,,,174.80,148,AT
14.02.20 16:13:30,,,174.80,609,AT
14.02.20 16:13:30,,,174.80,179,AT
14.02.20 16:13:30,,,174.80,158,AT
14.02.20 16:13:30,,,174.80,300,AT
14.02.20 16:13:30,,,174.80,82,AT
14.02.20 16:13:30,,,174.80,313,AT
14.02.20 16:13:30,,,174.80,130,AT
14.02.20 16:13:30,,,174.80,349,AT
14.02.20 16:13:30,,,174.80,138,AT
14.02.20 16:13:30,,,174.80,140,AT
